epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,989.26,0.73361,1.03648,0.89609,1,0.9168,0.995,0.83988,0.6668,2.43131,0.86664,0.00099314,0.00099314,0.00099314
44,1010.22,0.78608,0.99069,0.91878,1,0.98505,0.995,0.80321,0.77409,2.28051,0.89044,0.000999282,0.000999282,0.000999282
45,1031.25,0.77805,0.98417,0.909,1,0.98505,0.995,0.80321,0.77409,2.28051,0.89044,0.00100463,0.00100463,0.00100463
46,1052.19,0.86662,1.0231,0.92257,0.99028,1,0.995,0.84567,0.66212,2.11777,0.85919,0.00100919,0.00100919,0.00100919
47,1073.03,0.73332,0.96621,0.88232,0.99028,1,0.995,0.84567,0.66212,2.11777,0.85919,0.00101296,0.00101296,0.00101296
48,1095.08,0.75324,1.04748,0.91095,0.99374,1,0.995,0.86342,0.60632,1.99101,0.8487,0.00101593,0.00101593,0.00101593
49,1117.74,0.75885,1.03629,0.90484,0.99374,1,0.995,0.86342,0.60632,1.99101,0.8487,0.00101811,0.00101811,0.00101811
50,1140.67,0.74976,0.976,0.88377,1,0.99951,0.995,0.81235,0.67855,1.87562,0.86254,0.0010195,0.0010195,0.0010195
51,1163.29,0.75994,1.05403,0.89747,1,0.99951,0.995,0.81235,0.67855,1.87562,0.86254,0.00101,0.00101,0.00101
52,1185.63,0.70608,0.95908,0.86576,1,0.99693,0.995,0.80917,0.65548,1.81909,0.8571,0.0009902,0.0009902,0.0009902
53,1208.05,0.75352,0.9544,0.88036,1,0.99693,0.995,0.80917,0.65548,1.81909,0.8571,0.0009704,0.0009704,0.0009704
54,1231.25,0.7489,0.95553,0.87146,0.9916,0.97561,0.99452,0.82794,0.61403,1.7185,0.85704,0.0009506,0.0009506,0.0009506
55,1253.48,0.71961,0.92321,0.89,0.9916,0.97561,0.99452,0.82794,0.61403,1.7185,0.85704,0.0009308,0.0009308,0.0009308
56,1275.79,0.70843,0.90882,0.86788,0.97304,1,0.99452,0.84814,0.58544,1.57676,0.84637,0.000911,0.000911,0.000911
57,1298.06,0.70246,0.85207,0.86555,0.97304,1,0.99452,0.84814,0.58544,1.57676,0.84637,0.0008912,0.0008912,0.0008912
58,1320.88,0.70701,0.98165,0.89535,0.99514,1,0.995,0.84288,0.67026,1.49013,0.86408,0.0008714,0.0008714,0.0008714
59,1343.12,0.68353,0.89721,0.8943,0.99514,1,0.995,0.84288,0.67026,1.49013,0.86408,0.0008516,0.0008516,0.0008516
60,1365.32,0.6857,0.89751,0.90265,0.99764,1,0.995,0.86204,0.61997,1.40395,0.85082,0.0008318,0.0008318,0.0008318
61,1387.49,0.77326,0.92546,0.90538,0.99764,1,0.995,0.86204,0.61997,1.40395,0.85082,0.000812,0.000812,0.000812
62,1410.48,0.7109,0.86115,0.87592,0.99819,1,0.995,0.8768,0.53103,1.30383,0.83124,0.0007922,0.0007922,0.0007922
63,1432.83,0.6646,0.8588,0.88016,0.99819,1,0.995,0.8768,0.53103,1.30383,0.83124,0.0007724,0.0007724,0.0007724
64,1455.45,0.67668,0.85806,0.90235,0.99847,1,0.995,0.88998,0.51488,1.28958,0.82884,0.0007526,0.0007526,0.0007526
65,1477.19,0.71055,0.85815,0.89978,0.99847,1,0.995,0.88998,0.51488,1.28958,0.82884,0.0007328,0.0007328,0.0007328
66,1500.15,0.70938,0.8659,0.88556,0.99828,1,0.995,0.89434,0.51098,1.27043,0.82724,0.000713,0.000713,0.000713
67,1522.46,0.69647,0.86788,0.86374,0.99828,1,0.995,0.89434,0.51098,1.27043,0.82724,0.0006932,0.0006932,0.0006932
68,1544.46,0.64295,0.8427,0.8908,0.99787,1,0.995,0.88309,0.52673,1.23114,0.8274,0.0006734,0.0006734,0.0006734
69,1566.31,0.65609,0.84969,0.86745,0.99787,1,0.995,0.88309,0.52673,1.23114,0.8274,0.0006536,0.0006536,0.0006536
70,1588.76,0.67009,0.82028,0.85604,0.99786,1,0.995,0.86937,0.54641,1.15521,0.83855,0.0006338,0.0006338,0.0006338
71,1610.64,0.62078,0.85614,0.87721,0.99786,1,0.995,0.86937,0.54641,1.15521,0.83855,0.000614,0.000614,0.000614
72,1632.7,0.61783,0.7406,0.84439,0.99811,1,0.995,0.87081,0.54499,1.09374,0.8387,0.0005942,0.0005942,0.0005942
73,1654.98,0.62366,0.81885,0.85769,0.99811,1,0.995,0.87081,0.54499,1.09374,0.8387,0.0005744,0.0005744,0.0005744
74,1678.62,0.67422,0.88721,0.88085,0.99827,1,0.995,0.896,0.5042,1.06991,0.83033,0.0005546,0.0005546,0.0005546
75,1701.89,0.63528,0.78655,0.87366,0.99827,1,0.995,0.896,0.5042,1.06991,0.83033,0.0005348,0.0005348,0.0005348
76,1724,0.61998,0.72874,0.89246,0.99818,1,0.995,0.90798,0.46991,1.03378,0.82293,0.000515,0.000515,0.000515
77,1745.79,0.57629,0.76932,0.87729,0.99818,1,0.995,0.90798,0.46991,1.03378,0.82293,0.0004952,0.0004952,0.0004952
78,1768,0.65657,0.7816,0.89028,0.99828,1,0.995,0.9115,0.46719,1.00848,0.81984,0.0004754,0.0004754,0.0004754
79,1790.42,0.63118,0.7355,0.84861,0.99828,1,0.995,0.9115,0.46719,1.00848,0.81984,0.0004556,0.0004556,0.0004556
80,1812.54,0.64843,0.76654,0.86615,0.99841,1,0.995,0.91156,0.4672,1.00656,0.81559,0.0004358,0.0004358,0.0004358
81,1834.57,0.53444,0.75867,0.82326,0.99841,1,0.995,0.91156,0.4672,1.00656,0.81559,0.000416,0.000416,0.000416
82,1856.6,0.62628,0.79026,0.87077,0.99846,1,0.995,0.90738,0.45858,0.98265,0.81268,0.0003962,0.0003962,0.0003962
83,1878.52,0.59189,0.72586,0.84538,0.99846,1,0.995,0.90738,0.45858,0.98265,0.81268,0.0003764,0.0003764,0.0003764
84,1900.62,0.55906,0.72202,0.8374,0.99848,1,0.995,0.91049,0.43484,0.96003,0.8087,0.0003566,0.0003566,0.0003566
85,1922.78,0.61123,0.8006,0.89195,0.99848,1,0.995,0.91049,0.43484,0.96003,0.8087,0.0003368,0.0003368,0.0003368
86,1944.95,0.60949,0.78442,0.87207,0.99845,1,0.995,0.92878,0.40652,0.94768,0.803,0.000317,0.000317,0.000317
87,1967,0.53073,0.74561,0.84086,0.99845,1,0.995,0.92878,0.40652,0.94768,0.803,0.0002972,0.0002972,0.0002972
88,1989.21,0.56771,0.72312,0.84058,0.99844,1,0.995,0.93177,0.39694,0.93818,0.80021,0.0002774,0.0002774,0.0002774
89,2011.38,0.58733,0.7181,0.85172,0.99844,1,0.995,0.93177,0.39694,0.93818,0.80021,0.0002576,0.0002576,0.0002576
90,2033.74,0.54825,0.73375,0.84127,0.99835,1,0.995,0.93654,0.39655,0.92884,0.79874,0.0002378,0.0002378,0.0002378
91,2056.04,0.48722,1.01333,0.83252,0.99835,1,0.995,0.93654,0.39655,0.92884,0.79874,0.000218,0.000218,0.000218
92,2078.22,0.49751,1.01892,0.81318,0.99836,1,0.995,0.93884,0.39104,0.92541,0.79836,0.0001982,0.0001982,0.0001982
93,2099.96,0.48175,0.98705,0.83352,0.99836,1,0.995,0.93884,0.39104,0.92541,0.79836,0.0001784,0.0001784,0.0001784
94,2121.98,0.48053,0.97314,0.8159,0.99839,1,0.995,0.93693,0.38331,0.92614,0.79855,0.0001586,0.0001586,0.0001586
95,2143.68,0.46789,0.94107,0.84919,0.99839,1,0.995,0.93693,0.38331,0.92614,0.79855,0.0001388,0.0001388,0.0001388
96,2165.35,0.47645,1.01125,0.8163,0.99846,1,0.995,0.93406,0.38174,0.92601,0.79952,0.000119,0.000119,0.000119
97,2187.04,0.44351,0.93999,0.85335,0.99846,1,0.995,0.93406,0.38174,0.92601,0.79952,9.92e-05,9.92e-05,9.92e-05
98,2208.95,0.50598,0.99799,0.82256,0.99843,1,0.995,0.93033,0.38452,0.92469,0.80077,7.94e-05,7.94e-05,7.94e-05
99,2230.86,0.53431,0.94071,0.86178,0.99843,1,0.995,0.93033,0.38452,0.92469,0.80077,5.96e-05,5.96e-05,5.96e-05
100,2252.96,0.5138,0.95734,0.83748,0.99843,1,0.995,0.94047,0.38641,0.92265,0.80151,3.98e-05,3.98e-05,3.98e-05
